abuse_rate,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0,0.421891747016216,0.353345481864647,0.354038836341103,0.314918574567783,0.436658903902651,0.363713578108855,0.405215104728587,0.318968212762357,0.29936919484782
0.1,0.316362094532661,0.349525150606999,0.345846602651268,0.35390242557604,0.336312858420431,0.419368084862457,0.365917560657948,0.448532949613276,0.333742608599279
0.2,0.266511104446138,0.309440548691048,0.332129444895236,0.325471438580492,0.289624966088851,0.323368997485822,0.381740779030048,0.422230365814141,0.349303811767562
0.3,0.30573465791325,0.348549536188864,0.467536652456924,0.299375549889854,0.279075808328656,0.318501209753687,0.472379446186311,0.294197962093916,0.354238766131906
0.4,0.442414860752891,0.305865619551243,0.292106712344033,0.298243511291826,0.289986066928397,0.336576637493017,0.30742113604456,0.350261263265535,0.320773965722273
0.5,0.33863115810095,0.307722126418444,0.36041009780769,0.289691068161737,0.294414582089846,0.293221988952527,0.366162188211659,0.367403293123711,0.344977119991181
0.6,0.36534291920924,0.351899508292163,0.336485329641543,0.323586298743134,0.295277391300985,0.400405557444142,0.284090051778592,0.322238274494725,0.365925964667231
0.7,0.33034162248273,0.331452549853166,0.323880802900485,0.31149220852358,0.302060276139298,0.309027989610002,0.304268622930536,0.327285520306674,0.36516268214325
0.8,0.449059642023004,0.387007629105409,0.300591080964804,0.334853119751311,0.35937335577968,0.265522547842324,0.269786052230524,0.372261864153899,0.354743729616442
0.9,0.297217459857032,0.302306159259806,0.329514557899844,0.297039546653901,0.352095801905638,0.289841754358799,0.270627430045788,0.303264716677926,0.407670208725232
